"No.","Time","Source","Destination","Protocol","Length","Info"
"11362","268.056000","fe80::211:11:11:11","fe80::216:16:16:16","ICMPv6","102","RPL Control (DODAG Information Object)"
"11363","268.060200","","","IEEE 802.15.4","5","Ack"
"11364","268.249000","fe80::211:11:11:11","fe80::20a:a:a:a","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11365","268.251856","","","IEEE 802.15.4","5","Ack"
"11366","268.317000","fe80::20a:a:a:a","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11367","268.364000","fe80::201:1:1:1","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11368","268.442000","fe80::212:12:12:12","fe80::201:1:1:1","ICMPv6","102","RPL Control (DODAG Information Object)"
"11369","268.446200","","","IEEE 802.15.4","5","Ack"
"11370","268.474000","fe80::20a:a:a:a","fe80::211:11:11:11","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11371","268.476856","","","IEEE 802.15.4","5","Ack"
"11372","268.482000","fe80::20e:e:e:e","fe80::216:16:16:16","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11373","268.484856","","","IEEE 802.15.4","5","Ack"
"11374","268.517000","fe80::212:12:12:12","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11375","268.541000","fe80::205:5:5:5","fe80::217:17:17:17","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11376","268.543856","","","IEEE 802.15.4","5","Ack"
"11377","268.667000","fe80::203:3:3:3","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11378","268.688000","fe80::205:5:5:5","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11379","268.805000","fe80::203:3:3:3","fe80::214:14:14:14","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11380","268.807856","","","IEEE 802.15.4","5","Ack"
"11381","268.811000","fe80::20a:a:a:a","fe80::211:11:11:11","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11382","268.813856","","","IEEE 802.15.4","5","Ack"
